O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,62580,ART,239,601,Digital Photography II,3,TR,0930AM,1200PM,FLARMR,RP149,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63244,ART,251,621,Painting II,3,F,1200PM,0530PM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63245,ART,252,621,Painting III,3,F,1200PM,0530PM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63676,ART,253,621,Painting IV,3,F,1200PM,0530PM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60559,ART,261,621,Ceramics II,3,MW,0900AM,1150AM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62583,ART,262,621,Ceramics III,3,MW,0900AM,1150AM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63509,ART,263,621,Ceramics IV,3,MW,0900AM,1150AM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63505,ART,265,621,Sculpture II,3,TR,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63506,ART,266,621,Sculpture III,3,TR,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
,65131,CAD,100,641,Print Reading for CAD,3,F,0900AM,1200PM,FLARMR,RP148,18,25-Jan-19,15-Mar-19,,,"Yates, Chris",,
,65131,CAD,100,641,Print Reading for CAD,,,,,FLARMR,ONLINE,,25-Jan-19,15-Mar-19,,,"Yates, Chris",,
O,65132,CAD,101,601,Computer Aided Drafting/2D I,3,TR,0300PM,0545PM,FLARMR,RP148,18,22-Jan-19,14-Mar-19,,,"Hicks, Laura",,
O,62509,CAD,101,602,Computer Aided Drafting/2D I,3,MW,0600PM,0900PM,FLARMR,RP148,18,23-Jan-19,13-Mar-19,28-Jan-19,1-Mar-19,STAFF,,
O,63975,CAD,101,641,Computer Aided Drafting/2D I,3,MW,0800AM,1000AM,FLARMR,RP148,18,23-Jan-19,13-Mar-19,28-Jan-19,1-Mar-19,"Romero, Claudia",,
O,63975,CAD,101,641,Computer Aided Drafting/2D I,3,,,,FLARMR,ONLINE,,23-Jan-19,13-Mar-19,28-Jan-19,1-Mar-19,"Romero, Claudia",,
