O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,61035,MAT,135,631,Intro to Statistics: MA1,3,MWF,1000AM     0930AM,1050AM     1020AM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61038,MAT,156,601,Integrated Math II,3,MW,0400PM,0515PM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62752,MAT,166,601,Pre-Calculus: MA1,5,MWF          TR,1100AM     0800AM,1225PM     1015AM,FLARMR,CP224,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,62753,MAT,166,602,Pre-Calculus: MA1,5,MWF,0145PM     1215PM,0310PM     0140PM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63121,MAT,166,603,Pre-Calculus: MA1,5,TR          MWF,0800AM     0220PM,1015AM     0345PM,FLARMR,CP224,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63364,MAT,166,604,Pre-Calculus: MA1,5,MTR,0720PM     0400PM,0845PM     0525PM,FLARMR,CP224,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61040,MAT,201,601,Calculus I: MA1,5,MWF,0745AM     0800AM,0910AM     0925AM,FLARMR,CP224,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61042,MAT,201,602,Calculus I: MA1,5,MWF,0220PM     1110AM,0345PM     1235PM,FLARMR,CP224,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62953,MAT,201,603,Calculus I: MA1,5,MTR,0545PM     0535PM,0710PM     0700PM,FLARMR,CP224,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61044,MAT,202,601,Calculus II : MA1,5,MWF,0920AM     0935AM,1045AM     1100AM,FLARMR,CP224,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63122,MAT,202,602,Calculus II : MA1,5,MTR,0400PM     0710PM,0525PM     0835PM,FLARMR,CP224,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61045,MAT,204,601,Calculus III/Engineer App: MA1,5,MWF,1245PM,0210PM,FLARMR,CP224,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
