,,,,,,,,,,,,,,,,,,,
O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES,,
O,62355,HIS,111,602,The World: Antiquity-1500: HI1,3,TR,0400PM,0515PM,FLARMR,BP115,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,60807,HIS,112,601,The World: 1500-Present: HI1,3,TR,0100PM,0215PM,FLARMR,BP110,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63515,HIS,121,601,US History to Reconst: HI1,3,MW,1000AM,1115AM,FLARMR,CP 225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63516,HIS,121,602,US History to Reconst: HI1,3,TR,0100PM,0215PM,FLARMR,CP 126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63517,HIS,121,603,US History to Reconst: HI1,3,TR,1045AM,1245PM,FLARMR,TBD,16,26-Feb-19,13-May-19,14-Mar-19,20-Apr-19,STAFF,,"Note: This is a start 3, 10-week class. Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63519,HIS,122,601,US History since Civil War:HI1,3,MWF,1100AM,1150AM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63836,HIS,122,602,US History since Civil War:HI1,3,MW,0100PM,0215PM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63520,HIS,122,603,US History since Civil War:HI1,3,TR,0215PM,0340PM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63837,HIS,208,601,American Indian History:GT-HI1,3,TR,0225PM,0340PM,FLARMR,BP110,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,64332,HIS,215,601,Women in U.S. History: GT-HI1,3,MW,1125AM,1240PM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094. "
O,64582,HIS,218,601,History of Science & Tech:HI1,3,TR,1000AM,1115AM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Long,J. Michael,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094.  "
O,60830,HIS,225,601,Colorado History: HI1,3,MWF,0900AM,0950AM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,62527,HIS,225,602,Colorado History: HI1,3,TR,1000AM,1115AM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
