CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,COURSE NOTES,,,,,
64584,PSY,101,612,General Psychology I: SS3,3,TR,0930AM,1110AM,FLARMR,,30,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 ",,,,,
60823,PSY,102,601,General Psychology II : SS3,3,MWF,1100AM,1150AM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
62750,PSY,102,602,General Psychology II : SS3,3,TR,1125AM,1240PM,FLARMR,CP121,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
,PSY,102,602,General Psychology II : SS3,3,MW,0100PM,0215PM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
60824,PSY,102,63U,General Psychology II : SS3,3,TR,0225PM,0340PM,FLARMR,CP221,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"CONGRATULATIONS!  You have found one of our fantastic Learning Communities.  PSY 102 63U and ENG 122 63U are Learning Communities, meaning that two classes are paired, and students take the two classes together. Assignments in the classes are integrated and coordinated to help students learn class material.  In order to enroll in a learning community, you must register for both classes at the same time.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 ",,,,,
64310,PSY,200,601,Research Methodology,4,TR,1000AM,1150AM,FLARMR,CP228,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,Prerequisite: PSY 101,,,,,
60825,PSY,217,601,Human Sexuality: GT-SS3,3,MWF,1000AM,1050AM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
65074,PSY,226,601,Social Psychology,3,MW,0225PM,0340PM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite: PSY 101 or PSY 102 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}",,,,,
60826,PSY,235,601,Human Growth & Developmnt: SS3,3,MWF,0900AM,0950AM,FLARMR,CP120,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
63474,PSY,235,602,Human Growth & Developmnt: SS3,3,MW,0100PM,0215PM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
62365,PSY,235,603,Human Growth & Developmnt: SS3,3,TR,0835AM,0950AM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
62133,PSY,235,604,Human Growth & Developmnt: SS3,3,TR,1125AM,1240PM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
62528,PSY,235,605,Human Growth & Developmnt: SS3,3,F,0930AM,1115AM,FLARMR,,30,8-Feb-19,10-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
60827,PSY,235,606,Human Growth & Developmnt: SS3,3,TR,0530PM,0645PM,FLARMR,,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
63841,PSY,238,601,Child Development: SS3,3,TR,1000AM,1115AM,FLARMR,CP121,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094",,,,,
63475,PSY,249,601,Abnormal Psychology: SS3,3,TR,0100PM,0215PM,FLARMR,CP120,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite: PSY 101 or PSY 102 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}",,,,,
62751,PSY,258,601,Intro to Neuropsychology,3,MW,0100PM,0215PM,FLARMR,CP228,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,Prerequisite: PSY 101 or PSY 102 ,,,,,
