61903,BIO,216,641,Pathophysiology,4,,,,ONLINE,,22-Jan-19,13-May-19,STAFF,
63897,BIO,221,601,Botany w/Lab: SC1,5,F,0800AM,1050AM,SP122,24,22-Jan-19,13-May-19,STAFF,
63897,BIO,221,601,Botany w/Lab: SC1,5,MW,0730AM,0845AM,SP116,24,22-Jan-19,13-May-19,STAFF,
64600,BIO,222,601,General College Ecology,4,MTW,0800AM,0950AM,SP122,24,22-Jan-19,13-May-19,STAFF,
60908,CHE,101,601,Intro to Chemistry I/Lab: SC1,5,MF,0800AM,0950AM,SP212,24,22-Jan-19,13-May-19,STAFF,
60908,CHE,101,601,Intro to Chemistry I/Lab: SC1,5,W,0800AM,0950AM,SP212,24,22-Jan-19,13-May-19,STAFF,
60909,CHE,101,602,Intro to Chemistry I/Lab: SC1,5,TR,0800AM,0950AM,SP212,24,22-Jan-19,13-May-19,STAFF,
60909,CHE,101,602,Intro to Chemistry I/Lab: SC1,5,W,0800AM,0950AM,SP204,24,22-Jan-19,13-May-19,STAFF,
60910,CHE,101,603,Intro to Chemistry I/Lab: SC1,5,TR,0500PM,0650PM,SP212,24,22-Jan-19,13-May-19,STAFF,
60910,CHE,101,603,Intro to Chemistry I/Lab: SC1,5,W,0500PM,0650PM,SP212,24,22-Jan-19,13-May-19,STAFF,
60911,CHE,101,604,Intro to Chemistry I/Lab: SC1,5,TR,1000AM,1150AM,SP212,24,22-Jan-19,13-May-19,STAFF,
60911,CHE,101,604,Intro to Chemistry I/Lab: SC1,5,W,1000AM,1150AM,SP212,24,22-Jan-19,13-May-19,STAFF,
60916,CHE,101,605,Intro to Chemistry I/Lab: SC1,5,MF,0100PM,0250PM,SP212,24,22-Jan-19,13-May-19,STAFF,
60916,CHE,101,605,Intro to Chemistry I/Lab: SC1,5,T,0100PM,0250PM,SP204,24,22-Jan-19,13-May-19,STAFF,
62347,CHE,101,606,Intro to Chemistry I/Lab: SC1,5,MF,0300PM,0450PM,SP212,24,22-Jan-19,13-May-19,STAFF,
62347,CHE,101,606,Intro to Chemistry I/Lab: SC1,5,W,0300PM,0450PM,SP204,24,22-Jan-19,13-May-19,STAFF,
62562,CHE,101,607,Intro to Chemistry I/Lab: SC1,5,TW,0300PM,0450PM,SP212,24,22-Jan-19,13-May-19,STAFF,
62562,CHE,101,607,Intro to Chemistry I/Lab: SC1,5,R,0300PM,0450PM,SP204,24,22-Jan-19,13-May-19,STAFF,
63156,CHE,101,63X 603,Intro to Chemistry I/Lab: SC1,5,MF,1000AM,1150AM,SP204,24,22-Jan-19,13-May-19,STAFF,
63156,CHE,101,63X 603,Intro to Chemistry I/Lab: SC1,5,W,1000AM,1150AM,SP204,24,22-Jan-19,13-May-19,STAFF,
60912,CHE,101,641,Intro to Chemistry I/Lab: SC1,5,M,0500PM,0750PM,SP212,24,22-Jan-19,13-May-19,STAFF,
60912,CHE,101,641,Intro to Chemistry I/Lab: SC1,5,,,,ONLINE,,22-Jan-19,13-May-19,STAFF,
62348,CHE,101,608 801,Intro to Chemistry I/Lab: SC1,5,MW TR,1000AM,1150AM,CP125 PR4,24,22-Jan-19,13-May-19,STAFF,
62348,CHE,101,608 801,Intro to Chemistry I/Lab: SC1,5,F,1000AM,1150AM,SP212,24,22-Jan-19,13-May-19,STAFF,
62040,CHE,101,608 802,Intro to Chemistry I/Lab: SC1,5,TR,0800AM,0950AM,CP124 PR4,24,22-Jan-19,13-May-19,STAFF,
62040,CHE,101,608 802,Intro to Chemistry I/Lab: SC1,5,F,0800AM,0950AM,SP204,24,22-Jan-19,13-May-19,STAFF,
64689,CHE,102,641,Intro to Chemistry II/Lab: SC1,5,M,1000AM,1250PM,SP212,24,22-Jan-19,13-May-19,STAFF,
64689,CHE,102,641,Intro to Chemistry II/Lab: SC1,5,,,,ONLINE,,22-Jan-19,13-May-19,STAFF,
60913,CHE,111,601,Gen College Chem I/Lab: SC1,5,MT,0800AM,0950AM,SP204,24,22-Jan-19,13-May-19,STAFF,
60913,CHE,111,601,Gen College Chem I/Lab: SC1,5,R,0800AM,1050AM,SP204,24,22-Jan-19,13-May-19,STAFF,
60914,CHE,111,602,Gen College Chem I/Lab: SC1,5,MF,0200PM,0350PM,SP204,24,22-Jan-19,13-May-19,STAFF,
60914,CHE,111,602,Gen College Chem I/Lab: SC1,5,R,0200PM,0450PM,SP212,24,22-Jan-19,13-May-19,STAFF,
63681,CHE,111,603,Gen College Chem I/Lab: SC1,5,MW,0500PM,0650PM,CP107,24,22-Jan-19,13-May-19,STAFF,
63681,CHE,111,603,Gen College Chem I/Lab: SC1,5,T,0500PM,0750PM,SP204,24,22-Jan-19,13-May-19,STAFF,
60915,CHE,112,601,Gen College Chem II/Lab: SC1,5,MF,1200PM,0150PM,SP204,24,22-Jan-19,13-May-19,STAFF,
60915,CHE,112,601,Gen College Chem II/Lab: SC1,5,W,1200PM,0250PM,SP204,24,22-Jan-19,13-May-19,STAFF,
61620,CHE,112,602,Gen College Chem II/Lab: SC1,5,MR,0500PM,0650PM,SP204,24,22-Jan-19,13-May-19,STAFF,
61620,CHE,112,602,Gen College Chem II/Lab: SC1,5,W,0500PM,0750PM,SP204,24,22-Jan-19,13-May-19,STAFF,
60970,CHE,205,601,Intro Organic Chemistry w/Lab,5,TR,1200PM,0150PM,SP212,24,22-Jan-19,13-May-19,STAFF,
60970,CHE,205,601,Intro Organic Chemistry w/Lab,5,W,1200PM,0250PM,SP212,24,22-Jan-19,13-May-19,STAFF,
65164,CHE,212,601,Organic Chemistry II w/ Lab,5,TR,0500PM,0650PM,SP212,24,22-Jan-19,13-May-19,STAFF,
65164,CHE,212,601,Organic Chemistry II w/ Lab,5,W,0500PM,0750PM,SP212,24,22-Jan-19,13-May-19,STAFF,
65165,FER,203,601,Fermented Food Science,,TBA,TBA,TBA,TBA,24,22-Jan-19,13-May-19,Romero,Chris
60918,GEY,111,601,Physical Geology w/Lab: SC1,4,MWF,0800AM,0940AM,SP216,24,22-Jan-19,13-May-19,STAFF,
60919,GEY,111,602,Physical Geology w/Lab: SC1,4,TR,1045AM,0115PM,SP216,24,22-Jan-19,13-May-19,STAFF,
60920,GEY,111,603,Physical Geology w/Lab: SC1,4,MWF,0140PM,0320PM,SP216,24,22-Jan-19,13-May-19,STAFF,
62340,GEY,111,604,Physical Geology w/Lab: SC1,4,TR,0800AM,1030AM,SP216,24,22-Jan-19,13-May-19,STAFF,
63178,GEY,112,601,Historical Geology w/Lab: SC1,4,MWF,1000AM,1140AM,SP216,24,22-Jan-19,13-May-19,STAFF,
63175,GEY,135,601,Environmental Geol w/Lab: SC1,4,MW,0300PM,0530PM,SP125,24,22-Jan-19,13-May-19,STAFF,
60921,MET,150,601,Gen Meteorology w/Lab: SC1,4,TR,0130PM,0345PM,SP216,24,22-Jan-19,13-May-19,STAFF,
61619,MET,150,602,Gen Meteorology w/Lab: SC1,4,TR,0230PM,0445PM,CP121,24,22-Jan-19,13-May-19,STAFF,
60924,PHY,105,601,Conceptual Physics w/Lab: SC1,4,TR,0450PM,0705PM,SP207,14 24,22-Jan-19,13-May-19,STAFF,
60925,PHY,105,602,Conceptual Physics w/Lab: SC1,4,MW,0245PM,0500PM,SP207,8 24,22-Jan-19,13-May-19,STAFF,
